Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
724,Cedarpelta_bilbeyhallorum,Cedarpelta_bilbeyhallorum,Ornithischia,Ankylosauria,Ankylosauria,Late_Albian,Early_Cenomanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carpenter et al. 2001,"Estimated skull length. Total body length estimated at 7.5-8.5 m; right
partial humerus CEUM 10258; left ulna CEUM 10425; mature; Carpenter et al 2001",0,0,"CEUM, College of Eastern Utah Prehistoric Museum, Price, Utah, USA",CEUM 12360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,Cedrorestes_crichtoni,Cedarorestes_crichtoni,Ornithischia,Iguanodontia,Iguanodontia,Barremian,Barremian,NA,NA,NA,NA,639,NA,NA,NA,NA,NA,NA,NA,219,Gilpin et al. 2007; DMNH 47994,"tib and MT III complete, but lengths not reported; lengths taken with imagej",0,0,"DMNH, Denver Museum of Nature and Science, Denver, Colorado, UK",DMNH 47994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,Centrosaurus_apertus,Centrosaurus_apertus,Ornithischia,Ceratopsidae,Ceratopsidae,Campanian,Campanian,795,286,84.8,99.3,520,268,563,249,99,NA,NA,NA,206,YPM 2015 (NEC),Skull length from Lull (1933); mature,0,0,"YPM, Yale Peabody Museum, New Haven, Connecticut, USA",YPM 2015,289.63,NA,286,0,measured,249,0,measured,2492.635914,0.151779904
727,Centrosaurus_brinkmani,Centrosaurus_brinkmani,Ornithischia,Ceratopsidae,Ceratopsidae,Middle_Campanian,Middle_Campanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan & Russell 2005,mature,0,0,"TMP, Royal Tyrrell Museum of Paleontology, Drumheller, Canada",TMP 2002.68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,Ceramornis_major,not,Theropoda,Avialae,Avialae,Late_Maastrichtian,Late_Maastrichtian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brodkorb 1963; UCMP 53959, coracoid",,0,0,"UCMP, University of California Museum of Paleontology, Berkeley, California, USA",UCMP 53959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,Cerasinops_hodgskissi_,Cerasinops_hodgskissi,Ornithischia,Ceratopsia,Ceratopsia_2,Middle_Campanian,Late_Campanian,352,NA,NA,36,344.6,NA,260.3,NA,30,28,NA,175,170.7,Chinnery and Horner 2007,basal length=240; total length (including frill)=355 (based on reconstruction in Fig. 1); adult (Chinnery and Horner 2007),0,0,"MOR, Museum of the Rockies, Bozeman, Montana, USA",MOR 300,NA,91.13,122.44,0.0435,FC_for_quadrupedal_ceratopsians_using_HL_and_equation_.27.,94.77,0.0202,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,209.1132473,0.262484245
312,Ceratonykus_oculatus,Ceratonykus,Theropoda,Alvarezsauroidea,Alvarezsauroidea,Late_Campanian,Late_Campanian,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skull and partial postcranial skeleton including partial femur, humerus and a metatarsus; Alifanov & Barsbold 2009",adult,0,0,"PIN, Paleontological Institute, Russian Academy of Sciences, Moscow, Russia",,NA,NA,13.51489743,0.0509,FC_for_bipedal_dinosaurs_using_FAP_and_equation_.8.,NA,NA,NA,0.262034122,0.198315835
314,Ceratosaurus_nasicornis,not,Theropoda,Ceratosauria,Ceratosauria,Kimmeridgian,Tithonian,620,NA,70,62,557,NA,NA,NA,NA,NA,86,149,254,"USNM 4735 (MTC, JNC)",,0,0,"USNM, United Stated National Museum, Washington DC, USA",USNM 4735,207.54,NA,217.85,0.0245,FC_for_all_dinosaurs_using_FCoval_and_equation_.4.,NA,NA,NA,546.6439425,0.165269888
313,Ceratosaurus_nasicornis,Ceratosaurus,Theropoda,Ceratosauria,Ceratosauria,Kimmeridgian,Tithonian,759,268,90.4,NA,594,NA,330,130,NA,NA,NA,NA,NA,UMNH VP 5278 (RBJB); Madsen & Welles 2000,,0,0,"UMNH, University of Utah Museum of Natural History, Salt Lake City, Utah, USA",UMNH VP 5278,NA,NA,268,0,measured,130,0,measured,966.2254246,0.135
2,Cetiosauriscus_greppini,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Early_Kimmeridgian,Early_Kimmeridgian,NA,NA,NA,NA,520,NA,560,NA,NA,NA,NA,NA,NA,Huene 1922; Meyer & Thüring 2003,bonebed,0,1,"HM, Naturhistorisches Museum Basel, Switzerland","HM 260 (humerus), 340 (ulna), 349, 372 (femora), 342, 339, 387 (tibiae) and other specimens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Cetiosauriscus_stewarti,Cetiosauriscus,Sauropodomorpha,Eusauropoda,Eusauropoda,Middle_Callovian,Middle_Callovian,1360,535,195,145,NA,NA,940,507,180,135,NA,NA,220,BMNH R3078 (RBJB; MTC); Woodward 1905,,0,0,"BMNH, Natural History Museum, London, United Kingdom",BMNH R3078,536.96,497.33,535,0,measured,507,0,measured,15581.81276,0.153549336
3,Cetiosaurus_glymptonensis,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Late_Bathonian,Late_Bathonian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phillips 1871; Upchurch & Martin 2003; caudal vertebrae only,,0,0,"OUMNH, Oxford University Museum of Natural History, Oxford, UK",OUMNH J.13750-13758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Cetiosaurus_oxoniensis,Cetiosaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Middle_Bathonian,Middle_Bathonian,1615,683,NA,NA,945,455,1260,594,NA,NA,NA,NA,NA,"Upchurch & Martin 2003; largest specimen is lectotype: OUMNH J13605–13613, J13615–16, J13619–J13688, J13899",,0,0,"OUMNH, Oxford University Museum of Natural History, Oxford, UK","OUMNH J13605–13613, J13615–16, J13619–J13688, J13899",NA,NA,683,0,measured,594,0,measured,27254.88961,0.154468152
