Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
9,Aardonyx_celestae,Aardonyx,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Hettangian,Sinemurian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,198,"Yates et al. 2009; measurements of larger individual; femur of smaller individual known (BP/1/6510; length = 681; mediolateral width at midshaft = 91, circumference=285); radius and mt III of the 'larger individual' reported by Yates et al. (2009) both 1.2 times as long as those of the 'smaller individual'","juveniles, bonebed (hypothetical 'larger individual' documented here, but was 'still growing' at the time of death)",1,0,"BPI, Bernard Price Institute, Witswatersrand University, Johannesburg, South Africa",BP/1/6254 and other specimens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Abelisaurus_comahuensis,Abelisaurus,Theropoda,Ceratosauria,Ceratosauria,Early_Campanian,Early_Campanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skull length (425mm) approximately as long as Skorpiovenator (450 mm; MMCH-PV 48),Skull only,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,Abrictosaurus_consors,Abrictosaurus_consors,Ornithischia,Ornithischia,Ornithischia,Hettangian,Sinemurian,77.1,NA,6.2,8.4,102.8,NA,53.5,NA,5.5,NA,NA,NA,54.5,BMNH RU B.54 (MTC); Thulborn 1974,Snout-basal tip of quadrate = 79 mm,0,0,"BMNH, Natural History Museum, London, United Kingdom",NHM RU B.54 (type); Thulborn 1974,23.06,NA,25.13,0.0251,FC_for_all_dinosaurs_using_FCoval_and_equation_.4.,NA,NA,NA,1.441989594,0.162030002
10,Abrosaurus_dongpoensis,not,Sauropodomorpha,Macronaria,Macronaria,Bajocian,Callovian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hui 1989; skull only,,0,0,"ZDM, Zigong Dinosaur Museum, Zigong, China",ZDM 5038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,Achelousaurus_horneri,Achelousaurus_horneri,Ornithischia,Ceratopsidae,Ceratopsidae,Middle_Campanian,Late_Campanian,612,258,85.9,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOR 591 (MTC),"Mature indivdual. Skull measurements available for holotype (Sampson 1995; MOR 485); Sk, basal L: 875; Sk, Tot L: 1629",0,0,"MOR, Museum of the Rockies, Bozeman, Montana, USA",MOR 591,242.86,NA,258,0,measured,194.38,0.0391,HC_for_quadrupedal_ceratopsians_using_FC_and_equation_.28.,1571.707293,0.241657164
240,Achillesaurus_manazzonei,Achillesaurus,Theropoda,Alvarezsauroidea,Alvarezsauroidea,Santonian,Santonian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Femoral head only preserved—Measured reconstruction of Martinelli & Vera (2007); femoral length scaled up from Alvarezsaurus by comparing ilia,Poorly preserved,0,0,"MACN, Museo Argentino de Ciencias Naturales, Buenos Aires, Argentina",MACN-PV-RN 1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Achillobator_giganticus,Achillobator,Theropoda,Dromaeosauridae,Dromaeosauridae,Santonian,Santonian,505,NA,67.3,NA,490,NA,NA,NA,NA,NA,NA,260,234.4,Perle et al. 1999; Novas et al. 2009,,0,0,"MNUFR, Mongolian National University, Ulaan Baatar",MUNFR 15,NA,NA,214.05,0.0376,FC_for_bipedal_dinosaurs_using_FML_and_equation_.6.,NA,NA,NA,520.8270318,0.185687087
686,Acristavus_gagslarsoni,Acristavus_gagslarsoni,Ornithischia,Hadrosauroidea,Hadrosauroidea,Middle_Campanian,Late_Campanian,NA,NA,NA,NA,975,318,NA,NA,NA,NA,NA,NA,400,pres. obs. EAF,mature; typical hadrosaurid size,0,0,"MOR, Museum of the Rockies, Bozeman, Montana, USA",MOR 1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,Acrocanthosaurus_atokensis,Acrocanthosaurus,Theropoda,Allosauroidea,Allosauroidea,Late_Aptian,Middle_Albian,1180,426,142,124,895,351,380,195,NA,NA,108,210,453,Currie & Carpenter 2000; NCSM 14345,,0,0,"NCSM, North Carolina Science Museum, Raleigh, North Carolina, USA",NCSM 14345,418.31,NA,426,0,measured,195,0,measured,3454.953577,0.135
11,Adamantisaurus_mezzalirai,not,Sauropodomorpha,Titanosauria,Titanosauria,Turonian,Maastrichtian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santucci & Bertini 2006; caudal vertebrae only,,0,0,"MUGEO, Museu Geológico Valdemar Lefevre, São Paulo","MUGEO 1282, 1289, 1295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,Adasaurus_mongoliensis,Adasaurus,Theropoda,Dromaeosauridae,Dromaeosauridae,Late_Campanian,Early_Maastrichtian,273,87,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,141,"MPC-D 100/20, but metatarsal from MPC-D 100/21 (NC); Turner et al., 2007",,0,0,"GIN, Geological Institute, Mongolian Academy of Sciences, Ulaan Baatar, Mongolia",GI 100/20,NA,NA,87,0,measured,NA,NA,NA,43.82584936,0.135
12,Adeopapposaurus_mognai,Adeopapposaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Hettangian,Sinemurian,230,NA,26,24,212,NA,159,NA,21,NA,NA,99,NA,Martinez 2009; no measurements in paper so measured from figures of PVSJ 610 (forelimb) and 569 (hindlimb),multiple individuals,1,1,"PVSJ, Instituto y Museo de Ciencias Naturales, San Juan, Argentina","PVSJ 610, 569 and other specimens",78.57,NA,83.85,0.0246,FC_for_all_dinosaurs_using_FCoval_and_equation_.4.,NA,NA,NA,39.60017701,0.164807872
13,Aegyptosaurus_baharijensis,Aegyptosaurus,Sauropodomorpha,Titanosauria,Titanosauria,Early_Cenomanian,Early_Cenomanian,1290,NA,220,NA,890,NA,1000,NA,NA,NA,NA,NA,NA,Stromer 1932,,0,0,"BSP, Bayerische Staatssammlung für Paläontologie und historische Geologie, Munich, Germany",BSP 1912 VIII 61 (?destroyed),NA,NA,575.57,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,NA,NA,NA,NA,NA
15,Aeolosaurus_colhuehuapensis,not,Sauropodomorpha,Titanosauria,Titanosauria,Campanian,Maastrichtian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Casal et al. 2007; caudal vertebrae only,,0,0,"UNPSJB, paleontología de vertebrados, Universidad Nacional de la Patagonia San Juan Bosco, Comodoro Rivadavia, Argentina",UNPSJB-PV 959/1–959/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Aeolosaurus_maximus,Aeolosaurus_maximus,Sauropodomorpha,Titanosauria,Titanosauria,Turonian,Maastrichtian,1550,NA,221,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santucci & Arruda-Campos 2011,,0,0,"MPMA, Museu de Paleontologia de Monte Alto, São Paulo, Brazil",MPMA 12-0001-97,593.76,NA,578.09,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,501.6,0.035184137,HC_for_quadrupedal_sauropodomorphs_using_FCe,17180.79823,0.218710971
16,Aeolosaurus_rionegrinus,Aeolosaurus_rionegrinus,Sauropodomorpha,Titanosauria,Titanosauria,Campanian,Maastrichtian,NA,NA,NA,NA,670,NA,925,435,NA,NA,260,580,NA,Powell 1987; MJG-R 1 (other specimens have been reported subsequently); measurements from Powell (2003),,0,0,"MJG-R, Museo Jorge Gerold, Ingeniero Jacobacci, Río Negro, Argentina",MJG-R 1,NA,NA,528.77,0.0367,FC_for_quadrupedal_sauropodomorphs_using_HC_and_equation_.20.,435,0,measured,12572.81483,0.228348466
17,Aeolosaurus_sp.,Aeolosaurus_sp.,Sauropodomorpha,Titanosauria,Titanosauria,Campanian,Maastrichtian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salgado et al. 1997; MCPA 27100,,0,0,"MCPA, Museo Provincial de Cipolletti, Rio Negro, Argentina",MCPA 27100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Aerosteon_riocoloradensis,Aerosteon,Theropoda,Allosauroidea,Allosauroidea,Early_Campanian,Early_Campanian,NA,NA,NA,NA,615,180,NA,NA,NA,NA,NA,NA,NA,"MCNA-PV-3137, 3139; Sereno et al., 2008; femur length scaled up proportional to tibia length from Australovenator",,0,0,"MCNA, Museo de Ciencias Naturales y Antropológicas (J. C. Moyano) de Mendoza, Mendoza, Argentina.","MCNA-PV-3137, 3139",NA,NA,213.52,0.0424,FC_for_bipedal_dinosaurs_using_TC_and_equation_.7.,NA,NA,NA,517.2892221,0.201562551
245,Afrovenator_abakensis,Afrovenator,Theropoda,Megalosauroidea,Megalosauroidea,Middle_Jurassic,Late_Jurassic,760,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,UC OBA 1 (RBJB),,0,0,"UC OBA, University fo Chicago, Department of Organismal Biology, Chicago, USA",UC OBA 1,NA,NA,275,0,measured,NA,NA,NA,1037.205444,0.135
687,Agilisaurus_louderbacki,Agilisaurus_louderbacki,Ornithischia,Ornithischia,Ornithischia,Bajocian,Callovian,198.5,NA,NA,NA,207,NA,97,NA,NA,NA,NA,87.6,103.5,Peng 1992,,0,0,"ZDM, Zigong Dinosaur Museum, Zigong, China",ZDM 6011,NA,NA,77.17,0.0593,FC_for_bipedal_dinosaurs_using_FL_and_equations_.9...11.,NA,NA,NA,31.51900492,0.228644869
688,Agujaceratops_mariscalensis,Agujaceratops_mariscalensis,Ornithischia,Ceratopsidae,Ceratopsidae,Campanian,Campanian,770,325,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,Lehman 2007,mature,0,0,"OMNH, Sam Noble Oklahoma Museum of Natural History, Norman, Oklahoma, USA",OMNH 10081,NA,NA,325,0,measured,220,0,measured,2622.833103,0.152556678
18,Agustinia_ligabuei,not,Sauropodomorpha,Titanosauria,Titanosauria,Late_Aptian,Albian,NA,NA,NA,NA,840,NA,NA,NA,NA,NA,NA,NA,210,"Bonaparte 1999; MCF-PVPH 110; vertebrae, tibia, fibula and left metatarals",,0,0,"MCF-PVPH, Museo ""Carmen Funes"", Plaza Huincul, Neuquen Province, Argentina",MCF-PVPH 110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,Ahshislepelta_minor,not,Ornithischia,Ankylosauria,Ankylosauria,Late_Campanian,Late_Campanian,NA,NA,NA,NA,NA,NA,310,NA,53,48,NA,NA,NA,Burns and Sullivan 2011,mature,0,0,SMP,SMP VP-1930,NA,158.75,191.17,0.027088629,FC_for_thyreophorans_using_HCe,165.89,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,820.0646821,0.201911288
690,Ajkaceratops_kozmai,not,Ornithischia,Ceratopsia,Ceratopsia_3,Santonian,Santonian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Osi et al. 2010,"Predentaries, premaxillae and rostral bones only",0,0,MTM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Alamosaurus_sanjuanensis,Alamosaurus,Sauropodomorpha,Titanosauria,Titanosauria,Campanian,Maastrichtian,NA,740,NA,NA,NA,NA,1503,661,NA,NA,NA,NA,NA,"Gilmore 1938 (USNM 15560, including a humerus); Lehman & Coulson 2002 (mention TMM 41541 with humeral and femoral circumferences); all measurements from TMM 41541.",,0,0,"TMM, Texas Memorial Museum, Austin, Texas, USA",TMM 41541,NA,NA,740,0,measured,661,0,measured,35163.81169,0.152796551
691,Alaskacephale_gangloffi,not,Ornithischia,Pachycephalosauria,Pachycephalosauria,Early_Maastrichtian,Early_Maastrichtian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAM AK-493-V-001 (DCE); left squamosal only,"Sq Width:65 mm; estimate on basis of large Prenocephale, ",0,0,"UAM, University of Alaska Museum - Earth Sciences Collections, Fairbanks",UAM AK-493-V-001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,Albalophosaurus_yamaguchiorum,not,Ornithischia,Ornithischia,Ornithischia,Valanginian,Valanginian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ohashi and Barrett 2009,juvenile based on incomplete neurocranial fusion,1,0,"SBEI, Shiramine Board of Education, Ishikawa, Japan",SBEI 176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,Albertaceratops_nesmoi,Albertaceratops_nesmoi,Ornithischia,Ceratopsidae,Ceratopsidae,Middle_Campanian,Middle_Campanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan 2007,mature,0,0,"TMP, Royal Tyrrell Museum of Paleontology, Drumheller, Canada",TMP 2001.26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,Albertonykus_borealis,Albertonykus,Theropoda,Alvarezsauroidea,Alvarezsauroidea,Early_Maastrichtian,Early_Maastrichtian,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,NA,13,NA,"Longrich & Currie, 2009; femoral length scaled up from Mononykus by compring tibia",,0,0,"TMP, Royal Tyrrell Museum of Paleontology, Drumheller, Canada",TMP 2001.45.91,NA,NA,45.06,0.0872,FC_for_bipedal_dinosaurs_using_TL_and_equations_.12...14.,NA,NA,NA,7.180913338,0.302961212
247,Albertosaurus_sarcophagus,Albertosaurus,Theropoda,Tyrannosauroidea,Tyrannosauroidea,Late_Campanian,Early_Maastrichtian,1020,350,NA,NA,1026,NA,305,NA,NA,NA,NA,134,NA,"ROM 807; Carr et al. 2005, supplemental data; Erickson et al. 2004 gives a list of femoral lengths and mass estimates using the equation of Anderson et al. (2004) for other specimens",,0,0,"ROM, Royal Ontario Museum, Toronto, Canada",ROM 807,NA,NA,350,0,measured,NA,NA,NA,2012.857972,0.135
249,Albinykus_bataar,Albinykus,Theropoda,Alvarezsauroidea,Alvarezsauroidea,Santonian,Campanian,65,NA,6.3,NA,113,NA,NA,NA,NA,NA,NA,NA,81,Nesbitt et al. 2011; IGM 100/3004,Bone histology and skeletal fusion suggests adult,0,0,"IGM (Institute of Geology, Mongolia)",IGM 100/3004,NA,NA,22.57,0.0384,FC_for_bipedal_dinosaurs_using_FML_and_equation_.6.,NA,NA,NA,1.073192132,0.180624527
248,Alectrosaurus_olseni,not,Theropoda,Tyrannosauroidea,Tyrannosauroidea,Middle_Campanian,Late_Campanian,661,229,NA,72.3,722,202,NA,NA,NA,NA,NA,NA,486,AMNH 6554 (MTC); Mader & Bradley 1989,,0,0,"AMNH, American Museum of Natural History, New York, USA",AMNH 6554,NA,NA,229,0,measured,NA,NA,NA,627.0519536,0.135
250,Alethoalaornis_agitornis,not,Theropoda,Avialae,Avialae,121,119.4,28.3,NA,NA,3.3,28.8,NA,29.3,NA,NA,NA,NA,26.7,18.3,Li et al 2007; LPM 00038 (largest individual),,0,0,"LPM, Liaoning Paleontological Museum",LPM 00038,NA,NA,10.2902478,0.0516,FC_for_bipedal_dinosaurs_using_FAP_and_equation_.8.,NA,NA,NA,0.123844668,0.199193188
694,Aletopelta_coombsi,not,Ornithischia,Ankylosauria,Ankylosauria,Late_Campanian,Late_Campanian,600,NA,108,NA,375,NA,400,NA,100,NA,NA,NA,NA,Coombs and Demere 1996,immature?; Ford and Kirkland 2001,1,0,"San Diego Natural History Museum, San Diego, California, USA",SDNHM 33909,NA,NA,311.18,0.0468,FC_for_quadrupedal_dinosaurs_using_FML_and_equation_.15.,286.93,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,3386.879277,0.236505509
251,Alexornis_antecedens,not,Theropoda,Avialae,Avialae,Campanian,Campanian,NA,NA,2,1.8,NA,NA,NA,NA,2.3,1.8,NA,NA,NA,"Brodkorb 1976, LACM 33213",,0,0,"LACM, Los Angeles County Museum, California, USA",LACM 33213,5.97,6.46,6.66,0.0259,FC_for_all_dinosaurs_using_FCoval_and_equation_.4.,NA,NA,NA,0.037444986,0.161077091
252,Alioramus_spp.,Alioramus,Theropoda,Tyrannosauroidea,Tyrannosauroidea,Late_Campanian,Early_Maastrichtian,560,170,57,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brusatte et al., 2009b, 2012",juvenile,1,0,"IGM (Institute of Geology, Mongolia)",IGM 100/1084,159.31,NA,170,0,measured,NA,NA,NA,276.4278135,0.135
254,Allosaurus_fragilis,not,Theropoda,Allosauroidea,Allosauroidea,Kimmeridgian,Tithonian,742,NA,NA,NA,706.5,NA,318,NA,NA,NA,NA,200,346,MOR 693 (MTC) -more data available\,,0,0,"MOR, Museum of the Rockies, Bozeman, Montana, USA",MOR 693,NA,NA,254.49,0.0582,FC_for_bipedal_dinosaurs_using_FL_and_equations_.9...11.,NA,NA,NA,838.1429688,0.235048273
255,Allosaurus_fragilis,not,Theropoda,Allosauroidea,Allosauroidea,Kimmeridgian,Tithonian,850,NA,95,NA,690,NA,310,NA,NA,NA,NA,222,327,Gilmore 1920; USNM 4734,,0,0,"USNM, United Stated National Museum, Washington DC, USA",USNM 4734,NA,NA,296.96,0.0378,FC_for_bipedal_dinosaurs_using_FML_and_equation_.6.,NA,NA,NA,1281.137437,0.18394811
253,Allosaurus_fragilis,Allosaurus,Theropoda,Allosauroidea,Allosauroidea,Kimmeridgian,Tithonian,973,381,129,115.7,766,322,NA,NA,NA,NA,NA,NA,402,AMNH 680 (MTC),,0,0,"AMNH, American Museum of Natural History, New York, USA",AMNH 680,384.66,NA,381,0,measured,NA,NA,NA,2541.813594,0.135
695,Altirhinus_kurzanovi,Altirhinus_kurzanovi,Ornithischia,Hadrosauroidea,Hadrosauroidea,Middle_Albian,Late_Albian,NA,NA,NA,NA,NA,NA,595,NA,92,NA,NA,NA,NA,Norman 1998; PIN 3386/8,mature; Norman 1998,0,0,"PIN, Paleontological Institute, Russian Academy of Sciences, Moscow, Russia",PIN 3386/8,NA,NA,NA,NA,NA,266.09,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,NA,NA
256,Alvarezsaurus_calvoi,Alvarezsaurus,Theropoda,Alvarezsauroidea,Alvarezsauroidea,Santonian,Santonian,NA,NA,10.3,9.7,NA,NA,NA,NA,NA,NA,NA,NA,82,"MUCPv 54; Bonaparte 1991, 1996; metatarsus (75 mm) slightly longer than the Tugrik alvarezsaur",,0,0,"MUCPv, Museo de Geología y Paleontología de la Universidad Nacional del Comahue, Neuquén, Argentina",MUCPv 54,31.42,NA,34.06,0.0249,FC_for_all_dinosaurs_using_FCoval_and_equation_.4.,NA,NA,NA,3.326690643,0.16398654
257,Alxasaurus_elesitaiensis,Alxasaurus,Theropoda,Therizinosauria,Therizinosauria,Aptian,Aptian,555,NA,NA,NA,NA,NA,375,NA,NA,NA,NA,245,NA,Russell & Dong 1993b; IVPP 88402,,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China","IVPP 88402 (two individuals, measurements of 'larger individual')",NA,NA,183.21,0.0581,FC_for_bipedal_dinosaurs_using_FL_and_equations_.9...11.,NA,NA,NA,339.5740645,0.233821335
20,Amargasaurus_cazaui,Amargasaurus,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Barremian,Early_Aptian,1035,505,195,141,640,NA,712,388,155,75,NA,470,NA,MACN N-15 (PDM); Salgado & Bonaparte 1991,,0,0,"MACN, Museo Argentino de Ciencias Naturales, Buenos Aires, Argentina",MACN-N 15,531.2,372.29,505,0,measured,388,0,measured,10194.60803,0.153080815
21,Amargatitanis_macni,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Barremian,Early_Aptian,1118,510,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MACN PV N53 (DE); Apesteguía 2007; six caudal vertebrae, a scapula, a femur (MACN PV N53), one astragalus",,0,0,"MACN, Museo Argentino de Ciencias Naturales, Buenos Aires, Argentina","MACN PV N51, 53, 34",NA,NA,510,0,measured,420.22,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,11405.83573,0.223791114
22,Amazonsaurus_maranhensis,not,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Aptian,Albian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalho et al. 2003; Two dorsal neural spines (MN 4558-V; UFRJ-DG 58-R/9); two dorsal centra (MN 4559-V; MN s/n(-V); neural spine of anterior caudal vertebra (UFRJ-DG 58-R/7); one mid caudal vertebra (MN 4555-V); one mid-posterior caudal vertebra (MN 4560-V); one posterior caudal vertebra (MN 4556-V); one posterior caudal vertebra (UFRJ-DG 58- R/10); four chevrons (UFRJ-DG 58-R/2; 58-R/3; 58-R/4; 58-R/5); four chevrons (MN 4564-V); an ilium (UFRJ-DG 58-R/1); a partial pubis (MN s/n(-V); and three ribs (MN 4562-V),,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Ambiortus,Ambiortus,Theropoda,Avialae,Avialae,Hauterivian,Hauterivian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurochkin 1985; neck and parts of wing bones only,,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Ampelosaurus_atacis,Ampelosaurus,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Early_Maastrichtian,710,257,104.3,54.7,NA,NA,657,280,113,60,NA,NA,NA,MDE c3.1182 (femur; MTC);  humerus (C3-86; MTC); Le Loeuff 2005,bonebed,0,1,"MDE, Esperaza Dinosaur Museum, Espéraza, France",,255.87,278.16,257,0,measured,280,0,measured,2518.338415,0.15017229
25,Amphicoelias_altus,Amphicoelias,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,1770,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Osborn & Mook 1921; AMNH 5764,,0,0,"AMNH, American Museum of Natural History, New York, USA",AMNH 5764,NA,NA,735,0,measured,598.78,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,30717.62873,0.225690941
696,Amtocephale_gobiensis,Amtocephale_gobiensis,Ornithischia,Pachycephalosauria,Pachycephalosauria,Santonian,Santonian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Watabe et al 2011; MPC-D 100/1203,"subadult; missing peripheral elements (supraorbitals, postorbitals, squamosals) are not fused",1,0,"MPC, Mongolian Paleontological Center, Mongolian Academy of Sciences,
Ulaanbaatar, Mongolia",MPC-D 100/1203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,Amurosaurus_riabinini,Amurosaurus_riabinini,Ornithischia,Hadrosauroidea,Hadrosauroidea,Late_Maastrichtian,Late_Maastrichtian,NA,NA,NA,NA,NA,NA,550,240,NA,NA,NA,NA,NA,Lauters/Godefroit Data,age unknown,0,0,"PIN, Paleontological Institute, Russian Academy of Sciences, Moscow, Russia",PIN? 1/283,NA,NA,NA,NA,NA,240,0,measured,NA,NA
26,Amygdalodon_patagonicus,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Late_Toarcian,Early_Aalenian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cabrera 1947; Museo de La Plata 46-VIII-21-1; vertebrae, ribs, partial scapula, partial pubis and teeth; possibly multiple individuals (Rauhut 2003)",,0,1,"MLP, Museo de La Plata, La Plata, Argentina",MLP 46-VIII-21-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,Anabisetia_saldiviai,Anabisetia_saldiviai,Ornithischia,Ornithischia,Ornithischia,Middle_Turonian,Late_Turonian,212,74.5,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,MCF-PVPH-74 (DCE),"Also available is MCF-PVPH-75, almost complete limbs; unfused braincase suggests specimens are juveniles; see Coria & Calvo 2002",1,0,"MCF-PVPH, Museo ""Carmen Funes"", Plaza Huincul, Neuquen Province, Argentina",MCF-PVPH-74,NA,NA,74.5,0,measured,NA,NA,NA,28.61077736,0.135
699,Anasazisaurus_horneri,not,Ornithischia,Hadrosauroidea,Hadrosauroidea,Late_Campanian,Late_Campanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lucas et al 2006,no limbs; skull length as preserved (missing premaxilla) is approx. 900mm; mature; large size; Hunt and Lucas 1993,0,0,"BYU, Brigham Young University Museum of Geology, Provo, Utah, USA",BYU 12950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,Anchiceratops_ornatus,Anchiceratops_ornatus,Ornithischia,Ceratopsidae,Ceratopsidae,Late_Campanian,Early_Maastrichtian,740,NA,NA,150,542,NA,523,NA,91,75,NA,292,140,Mallon and Holmes 2011,,0,0,"CMN, Canadian Museum of Nature, Ottawa, Canada",CMN 8547,NA,261.36,295.08,0.0397,FC_for_quadrupedal_ceratopsians_using_HL_and_equation_.27.,274.29,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,2958.025899,0.27628561
259,Anchiornis_huxleyi,Anchiornis,Theropoda,Troodontidae,Troodontidae,Late_Bathonian,Early_Kimmeridgian,66.2,NA,NA,5.7,102.144,NA,69,NA,NA,NA,NA,54,55.2,Xu et al. 2008; Hu et al. 2009; LPM-B00169 - femoral anteroposterior diameter measured from figure,slab specimens,0,0,"LPM, Liaoning Paleontological Museum",LPM-B00169 ,NA,NA,18.0665016,0.0502,FC_for_bipedal_dinosaurs_using_FAP_and_equation_.8.,NA,NA,NA,0.582019507,0.197988889
23,Anchisaurus_polyzelus,Anchisaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Hettangian,Sinemurian,275,NA,42.3,33.2,260,NA,NA,NA,NA,NA,NA,NA,120.7,YPM 208 (MTC; holotype of Ammosaurus major; referred to Anchisaurus polyzelus most recently by Yates 2010); Galton 1973,,0,0,"YPM, Yale Peabody Museum, New Haven, Connecticut, USA",YPM 208,119.03,NA,117.96,0.0235,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,108.88,0.03497113,HC_for_quadrupedal_sauropodomorphs_using_FCe,235.6013484,0.207282348
27,Andesaurus_delgadoi,Andesaurus,Sauropodomorpha,Titanosauria,Titanosauria,Early_Cenomanian,Early_Cenomanian,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,"Calvo & Bonaparte 1991; Mannion & Calvo 2011; MUCPv-132; vertebrae, ribs, right humerus, pubis, ischia, femur",,0,0,"MUCPv, Museo de Geología y Paleontología de la Universidad Nacional del Comahue, Neuquén, Argentina",MUCPv-132,NA,NA,NA,NA,NA,512.64,0.0326,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,NA,NA
260,Angaturama_limai,Angaturama,Theropoda,Megalosauroidea,Megalosauroidea,Early_Albian,Early_Albian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kellner & Campos 1996,,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Angolatitan_adamastor,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Turonian,Late_Turonian,NA,NA,NA,NA,NA,NA,1100,432,NA,NA,225,630,NA,Mateus et al. 2011; MGUANPA-003,,0,0,"MGUAN, Museu Geológico da Universidade Agostinho Neto, Luanda, Angola",MGUANPA-003,NA,NA,525.07,0.0367,FC_for_quadrupedal_sauropodomorphs_using_HC_and_equation_.20.,432,0,measured,12333.97263,0.227690733
